Từ	Nghĩa
Mbliư̆ wĭt (đgt) 	Phản bội. 
Mbloh (pht)	Chốc
Mbloh ƀiă (dt)	Tí nữa. Mbloh [iă truh yơh di yûu: Tí nữa họ sẽ đến.
Mbluăt (đgt)	Luồn qua.
Mbluôp (đgt)	Nối (hai đầu ống với nhau). Mbluôp đyøng êa krih kphê: Nối ống dây tưới cà phê.
Mblŭ (đgt)	Lên tiếng
Mblŭt (đgt)	Nói quá. 
Mblư̆ (đgt) 	Lật
Mboh (đgt) 	1. Đậu quả (có quả)
	2. Đẻ trứng (động vật đẻ trứng). Mnu\ ana mboh: Gà mái    đẻ trứng.
Mbŏ (đgt) 	Đổ đầy
Mbô (dt) 	Cây sậy. Mbô ]ăt hlăm trăp trang: Cây sậy mọc ở đầm lầy.
Mbông (dt)	1. Xà máng. (Cây tre đục làm thành máng để đỡ phên vách). Mu\t sang gao mbông: Vào nhà sàn bước qua xà máng. 
	2. Máng lợn. Pơ\ng mdhă ngă mbông u\n: đóng ván làm máng lợn. 
	3. Máng nước. Mbông pioh mđu\ êa hjan: Máng nước để hứng nước mưa.
Mbô̆(yao) (đgt)	Đánh băt cá băôûng voi. (voi làm đục nước băt cá).
Mbrim mbram (tt)	Mờ mờ. Tivi dlăng mbrim mbram: Màn heãnh tivi mờ mờ.
Mbruă (đgt)	Giỏi việc
Mbruê (trgt)	Hôm qua. Mbruê adiê hjan: Hôm qua trời mưa. 
Mbrŭ (đgt)	Làm (ruốc) măm. Mbru\ kan: Ruốc cá. 
Mbrư̆ (tt)	Mẩy hạt
Mbuêh (đgt)	Vuốt
Mbuh (đgt)	Đeo vào. Mbuh kông ti kngan: đeo vòng vào tay.
Mbul	I. (tt) làm nũng(nịu). Mbul ho\ng amyø: làm nũng với mẹ.
	Ii.(đgt) giỡn
Mbung (tt)	Bóng líng. 
Mbuôn 	I. (đgt) vun
	II (dt) Luống. Mbuôn djam puăn: Luống rau muống.
Mbuôn kkuh (đgt) 	Quyoå lạy. Mbuôn kkuh kơ anăp rup sang yang: Quyoå lạy trước bàn thờ tổ tiên; Mbuôn kkuh ti anăp ama akâo pap klei soh: Quyoå lạy trước mặt cha xin tha tội.
Mbŭ (đgt) 	Vun xới. Mbu\ phu\n êtak: Vun xới gốc đậu; Mbu\ lăn ksul phu\n: Xới đất vun gốc.
Mbŭk (đgt)	Quậy. (Say rượu quậy). 
Mƀaih (tht)	Eøi. 
Mƀar (đgt) 	Mặc cho (váy). Amyø bi m[ar m’iêng kơ anak: Mẹ mặc váy cho con.
Mƀăt (đgt)	Nêm. M[ăt hra hlăm djam: Nêm canh vừa miệng. 
Mƀâo (đgt)	Cho ngửi
Mƀăng (đgt)	Làm lỗ
Mƀhĭ (đgt)	Nghiền nát. M[hyø kpu\ng: Nghiền nát bột.
Mƀĭn (bi kƀĭn) (đgt)	1. Họp
	2. Cộng lại. 
Mƀĭt (tt)	Còn đầy. Eùsei djam adôk m[yøt: Cơm canh còn đầy. 
Mƀlă (đgt) 	Nuôi
Mƀlăk (đgt)	Nuôi bộ. M[lăk ho\ng êa vi: Nuôi bộ băôûng nước cơm. 
Mƀlăn ală (đgt)	Trợn măt.  
Mƀleng mƀlong (tt) 	Đậy vênh.
Mƀliêt (đgt)	Luồn. M[liêt mmiă mu\t: Luồn chen vào.
Mƀlir (đgt) 	Dán. M[lir anôk tyø: Dán chỗ bị rách. 
Mƀlir kal (đgt)	Niêm phong. M[lir kal klei bi lông: Niêm phong đề thi. 
Mƀlĭt (đgt)	Dán (cho dính). M[lyøt hră: Dán sách.
Mƀlŏng mƀlơt (tt) 	Gồ ghề.
Mƀluăt (đgt)	Luồn qua. 
Mƀluih mƀlơih (tt)	Bơ phờ.
Mƀlum (đgt)	Thuần hí. M[lum êman dliê jing êman [uôn: Thuần hí voi rừng thành voi nhà.
Mƀoh mƀal (tt)	Meôo mó. Krah rup m[oh m[al: Tạc tượng meôo mó. 
Mƀơ̆ng (đgt)	Châm (lửa). M[ơ\ng pui hăt: Châm lửa thuốc.
Mƀroh (dt)	Aoùi
Mƀroh mƀrăt (tt) 	Eøuïm ịm. Đo\k m[roh m[ăt: giọng ồm ịm
Mƀuh (đgt)	Aoûm ảnh.
Mƀuiñ (tt)	Yoù vào. Đăm lo\ m[uiyû kơ amyø ama ôh: đừng có yoã vào bố mẹ.
Mƀŭk (đgt)	Quấn tóc.
Mƀư̆ (đgt)	Uốn thẳng. M[ư\ grăn wăng: Uốn thẳng cán cuốc.
Mčah (đgt) 	Vỡ
Mčah rai (tt) 	Vỡ nát,vỡ tan. {êyû m]ah rai: Bánh vỡ nát. 
Mčai (tt)	Nhiều
Mčaĭ ênai dhuai (đgt)	Loan tin. M]ayø ênai dhuai bo\ [uôn: Loan tin khăp buôn.
Mčeh luar (đgt)	Vu khống
Mčei (tt)	Ngang sức
Mčhet mčhot (tt)	Vớ vẩn.
Mčhi 	Không dám. Kâo amâo m]hi: Tôi không dám.
Mčhĭ (đgt)	Đổ thừa cho ai đó. Đăm lo\ duah m]hyø kơ pô anei pô adih ôh: đừng có đổ thừa cho người này người kia nữa.
Mčhĭ klei soh (đgt)	Đổ tội
Mčhĭn (đgt) 	Chỉ trích.
Mčhŏ (đgt) 	Làm dơ
Mčhô  (dt)	Mõm dài.
Mčhu (kƀông) (đgt)	Chu miệng.  Si lei ih dê m]hu he\ k[ông mơh: Làm geã mà chu cái miệng.
Mčhuai (tt)	Nhầm lón. Khăng m]huai nanao dua ayo\ng adei di yûu: Hai anh em nó hay bị nhầm lón. 
Mčhuk ai (tt)	Nức lòng. 
Mčhum (đgt)	Chịng (hông). {ă e\ m]hum he\ jơ\ng: địu beô phải chịng chân.
Mčhur (đgt)	Xui
Mčhŭ (đgt)	Lón
Mčhưr (đgt)	Xuyên tạc
Mčiêm (đgt)	Cho ăn. M]iêm e\ [ơ\ng bur: Cho beô ăn cháo. 
Mčiêng (tt) 	Nghiêng. Đih m]iêng: Năôûm nghiêng. 
Mčuê (đgt)	Nối. M]uê anôk tloh: Nối dây chỗ bị đứt.
Mčuit (tt)	Cheôo. {ôyû m]uit: đan cheôo.
Mčuit mčuat (tt)	Xoăn xuyôt. Hrue# m]uit m]uat: Dây leo xoăn xuyôt.
Mčuôp (bi kčuôp) (dt)	Tảo hôn. Klei bhiăn m]uôp ung mo#: Tục tảo hôn.
Mda (tt) 	1. Non. Chuối non: Mtei mda. 
	2. Trẻ. Adôk mda ka truh thu\n hlăk ai: Còn trẻ chưa đến tuổi thành niên.
Mdah (đgt) 	1. Chiếu. Mdah rup: Chiếu phim. 
	2. Bày tỏ. Mdah klei ênguôt hnyøng pô: Bày tỏ nỗi niềm của meãnh.
	3. Phô ra
Mdah klei blŭ (đgt)	Phát biểu. Mdah klei blu\ ti anăp mnuih lu: Phát biểu trước đám đông. 
Mdan (đgt)	Đặt ngồi. 
Mdang (đgt)	Sưởi (ấm). Dôk mdang pui: Ngồi sưởi ấm.
Mdar (đgt) 	Cho quay
Mdăk mduê (tt)	Cầu kyoå. Prue# blu\ mdăk mduê: Câu văn cầu kyoå. 
Mdăp (đgt) 	Giấu giếm
Mdeh (trt)	Nheô.
Mdei (đgt)	Nghỉ. Mdei bruă: Nghỉ việc.
Mdei bhiâo (đgt)	Nghỉ giải lao
Mdei msăn (đgt)	Nghỉ ngơi. Mă bruă amâo mdei msăn: Làm việc không nghỉ ngơi. 
Mdei prŏng (đgt) 	Nghỉ hè. Phung hđeh hriăm hră mdei pro\ng: Học sinh nghỉ hè.
Mdê (mdhê) (tt)	Khác. Mdê klei blu\: Khác ngôn ngữ. 
Mdê gah gôk(tt)	Khác lạ. Dlăng kơ yûu mdê gah gôk: Trông nó khác lạ.
Mdê mdô (tt)	Bất đồng. Mdê mdô klei blu\: Bất đồng ngôn ngữ. 
Mdê̆č (đgt)	Tránh
Mdê̆č mdar (tt)	1. Quanh co. Blu\ mde#] mdar amâo jho\ng la] kpă ôh: Không dám nói thật mà cứ nói quanh co.
	2. Tráo trở
Mdhă (dt)	Ván. Mdhă lat: Ván eôp. 
Mdhung mdhiang (tt)	Rề rà
Mdhô̆(mdô̆) (dt)	Cái ghế. Dôk gu\ ti mdho#: Ngồi xuống ghế.
Mdhŭr (dt) 	Mdhu\r (một nhánh người Êđê). 
Mdhư̆ (tt)	Ngào ngạt. Mnâo êa klôyû mdhư\: Mùi hương nước hoa ngào ngạt.
Mdian (đgt)	Aoùo thuật. Nao dlăng arăng ngă mdian: đi xem ảo thuật.
Mdiăng (đgt) 	Chở. 
Mdiê (dt) 	Luôa. Nao pla mdiê: đi cấy luôa; Mdiê đio\: Luôa nếp; Mdiê hdrô: Luôa râu; Mdiê mjeh: Luôa giống.
Mdiê kuê (dt)	Luôa gạo. Mnuih [uôn sang mâo lu Mdiê kuê: Dân làng có nhiều luôa gạo. 
Mdiêr (tt)	Vòng vo. Blu\ mdiêr: Nói vòng vo. 
Mdih	I. (trgt) hôm kia. Mdih ti ih nao? : hôm kia anh đi đâu?.
	Ii. (đgt) thức giấc. Đăm blu\ ktang ôh leh e\ mdih: đừng nói to kẻo beô thức giấc.   
Mdih pĭt (đgt)	Thức dậy
Mding mdoang (tt)	Chíng váng. Ko\ asei mding mdoang: đầu bị chíng váng. 
Mdiông (đgt) 	Giao phối (con chó).
Mdit mduôt (tt)	Lỉnh kỉnh. Mnơ\ng mnuă mdit mduôt: đồ đạc lỉnh kỉnh. 
Mdĭ mdĭn (tt)	Dồn dập. Bruă mdyø mdyøn: Công việc dồn dập. 
Mdĭng mdŏng (tt) 	Tòng teng.
Mdjah (đgt)	Chấm vào. Mdjah êa drao anôk êka: Chấm thuốc vào vết thương.
Mdjah mdjik (tt) 	Bậy bạ
Mdjăp (đgt)	Làm đủ
Mdjâo (đgt)	Duô chín. Mdjâo boh [ơr: Duô quả bơ. 
Mdjĕ (tt)	Làm nhẹ
Mdjiê (đgt)	Giết. Mdjiê mnuih: Giết người;  Mdjiê êmô: Giết bò.
Mdjiêô (đgt)	Để một bên.
Mdjik (đgt)	Gheôp đôi. Đăm lo\ mdjik yûu ôh: đừng có gheôp đôi nó nữa. 
Mdjip mdjap (tt)	Què quặt. Asei mlei mdjip mdjap: Thân heãnh què quặt.
Mdjoh (đgt)	Làm nũng(nịu). Grăp bliư\ ]iêm e\ huă mdjoh nanao: Mỗi lần cho beô ăn cơm luôc nào cũng làm nũng. 
Mdjŏ (đgt)	1. Đối chiếu. Lo\ bi mdjo\: đối chiếu lại.
	2. Làm truông. 
Mdjuê (đgt)	Để giống
Mdlưh (đgt)	1. Lật đổ. Mdlưh knu\k kna mtao mtu\ng: Lật đổ chế độ phong kiến.
	2. Hạ xuống. Mdlưh adu\ jih hjan leh: Hạ dù xuống hết mưa rồi; Mdlưh mu\ng: Buông màn. 
Mdlưh rai (đgt)	Lật đổ
Mdoh (đgt)  	Vệ sinh
Mdŏng (dt) 	Tên của một lịi chim.  
Mdô̆(dt)	Cái ghế. Dôk gu\ ti mdo# : Ngồi ghế; Mdo# knang: Ghế dựa.
Mdơ̆k (dt) 	Cây môn thục. Mdơ\k êbua ]ăt hlăm trăp trang: Cây môn thục mọc ở đầm lầy.
Mdơ̆k m’ơr (tt)	Rùm beng.  
Mdơ̆ng (đgt) 	1. Dựng lên. Mdơ\ng kmeh sang: Dựng cột nhà. 
	2. Cất. Mdơ\ng sang: Cất nhà.
	3. Dọn. Mdơ\ng êsei kơ tuê: Dọn cơm cho khách.
Mdơ̆ng brei ruah (đgt)	Đề cử. Mnuih arăng mdơ\ng brei ruah: người được đề cử. 
Mdrao (đgt)	Chữa. Mdrao klei ruă : Chữa bệnh. 
Mdrao mgŭn (dt)	Y tế. 
Mdriâo (đgt) 	Reo hò.
Mdriêng(djiê) (dt) 	Chết tai nạn.
Mdrŏng (tt)	Giàu. Sang mdro\ng: Nhà giàu; Ala ]ar mdro\ng mnuih [uôn sang ktang kjăp: Dân giàu nước mạnh.
Mdrŏng sah (tt)	Giàu sang. 
Mdrung (tt)	Nghiêng. Boh hră mdrung: Chữ viết nghiêng.
Mdu (đgt)	Giảm nhẹ
Mdua (dt) 	Đôi. Mbha mdua: chia đôi.
Mdua mdua (dt)	Từng cặp. Hlăp mdua mdua: Chơi từng cặp. 
Mduê (đgt)	Nối.(hai đầu với nhau). Mduê đyøng êa: Nối ống nước.
Mdul (dt)	Đỡ. {ơ\ng ktơr mdul êsei: aûn băp đỡ cơm.
Mduôn (tt)	Già. Phung mduôn êbat djă giê dra. Người già đi chống gậy. 
Mduôn khua (tt) 	Già cả. Amyø ama mduôn khua leh s’ayø: Bố mẹ đã già cả rồi.
Mdŭm (tt)	Băôûng nhau (so sánh ). Mdu\m thu\n: Băôûng (cùng) tuổi.
Mdưh (đgt)	Đặt xuống (dạng cây
Mdưm (đgt)	Đặt (săôïn). Mdưm klei ]ang hmang kơ ênuk hlăk ai: đặt hy vọng vào lớp trẻ; mdưm klei ]uăn: đặt điều kiện.
Mđai (đgt)	Đẻ (con vật
Mđam (đgt)	1. Muối (dưa). Mđam brei msăm: Muối chua.
	2. Ngâm. 
Mđang (đgt)	Lật ngửa
Mđao (tt)	Aõaúm. Ao mđao: aoûo ấm. 
Mđao khŭ (tt)	Aõaúm áp. Adiê mđao khu\: trời ấm áp.
Mđaŏ (đgt)	1. Đố. Mđao\ hlăp: đố vui. 
	2. Thuần dưỡng. Mđao\ êman: Thuần dưỡng voi.
Mđar (đgt)	Đôn đốc
Mđat (đgt)	Chườm. Mđat êa hlơr ti dlông tian: Chườm nước nóng lên bụng.
Mđet mđok (đgt)	Eõỡn ẹo. Eùbat mđet mđot: đi ưỡn ẹo.
Mđê̆č (đgt) 	1. Dệt hoa văn.
	2. Amâo mđe#] : không ăn thua.
Mđhih mđhuaih (tt)	Yểu điệu. Knhuah êbat mđhih mđhuaih: Dáng đi yểu điệu.
Mđhuk (đgt)	Nuông chiều.  Amyø mđhuk anak măk: Mẹ chiều con hư.
Mđiă (tt)	Năng. Adiê mđiă yơ yăng: Trời năng chang chang. 
Mđiă ăm (tt)	Nóng hầm. Adiê mđiă ăm: Trời nóng hầm. 
Mđiâo (tt) 	(Người thuận tay) trái.
Mđiâo mang (tt) 	Xem không ra geã. Dlăng kơ kâo mđiâo mang: Xem tôi chẳng ra geã.
Mđiăl (đgt)	Chọc ghẹo
Mđiêô (đgt)	Đưa leôn. Mđiêô ]yøm ba wyøt kơ sang: đưa leôn thịt mang về nhà.
Mđih (đgt) 	Đặt cho năôûm. Mđih e\ ti jao: đặt beô năôûm võng.
Mđing hmư̆ (đgt)	Lăng nghe. Mđing hmư\ klei nai mtô mblang: Lăng nghe cô giáo giảng bài.
Mđing thao (đgt)	Nghiêng chậu. Mđing thao mđu\ êa: Nghiêng chậu hứng nước.
Mđĭ (đgt)	Nâng. Mđyø ti dlông: Nâng lên trên. 
Mđĭ  kdlưn (đgt)	Nâng lên. 
Mđĭ mđal (tt)	Chập chùng. }ư\ ]hiăng mđyø mđal: đồi nuôi chập chùng. 
Mđoh (đgt)	1. Keôo (gỗ). Eùman mđoh kyâo: Voi keôo gỗ.
	2. Đón (nước). Mđoh êa ba hlăm lo\: Đón nước vô ruộng. 
Mđŏk (tt)	Đanh đá. Mniê anăn mđo\k êdi: cô ta đanh đá thật.
Mđơr (tt)	Băôûng nhau (so sánh bề ngang). Di yûu dua mđơr: Hai đứa băôûng nhau. Mđơr dơ\ng mgăn: Ngang dọc băôûng nhau.
Mđơt (tt)	Cộc (quần
Mđuê̆ (đgt) 	Di dời.
Mđrăk mđrê (tt) 	Rộn ràng. Ryøng rai myûê mđrăk mđrê: Ve kêu rộn ràng.
Mđrăm	1. (pt) đồng thanh. Jih jang adu\ dlăng mđrăm: Cả lớp đọc đồng thanh. 
	2. (trt) Cùng. Nao mbyøt wyøt mđrăm: đi chung về cùng.
Mđrăm mbĭt (tt)	Nhịp nhàng. Hgu\m ai mđrăm mbyøt: Phối hợp nhịp nhàng; Jơ\ng ]huang mđrăm mbyøt tui hlue ênai hgơr: Chân bước nhịp nhàng theo tiếng trống.
Mđring mđrông (tt)	Dăôûng dặc. Dlông mđring mđrông: Dài dăôûng dặc.
Mđrĭng mđrĭng (tt) 	Song song. Eùbat mđryøng mđryøng: Bước song song. 
Mđrông (tt) 	Khuôc dài. Kbâo lui mđrông: Mía để từng khuôc dài. 
Mđruê̆ mđrông (đgt) 	Nối đuôi nhau
Mđua (đgt)	Đội (cho). Adiê mđiă mđua đuôn kơ adei: trời năng đội mũ cho em; mđua đuôn mtao: đội vương miện.
Mđung (tt) 	Rực rỡ. Mnga blang mđung: Hoa nở rực rỡ. 
Mđung asăp (đgt)	Phát thanh. 
Mđung hla (đgt)	Thả diều. Phung hđeh mđung hla: Bọn trẻ thả diều. 
Mđung mdiê (đgt)	Rê luôa. 
Mđup (đgt)	Đưa (lên). 
Mđup myơr (đgt)	Dâng
Mđur (đgt)	Mua chuộc. Aáu anăn leh phung jhat bi mđur: Anh ấy bị bọn xấu mua chuộc.
Mđŭ (đgt)	Hứng. Mđu\ êa hjan: Hứng nước mưa.
Mđŭk mđŭl (tt)	Uể oải. Hlăm asei mlei mđu\k mđu\l: Trong người cảm thấy uể oải.  
Mđưh ai (đgt) 	Chọc tức. Mđưh ai yûu: Chọc tức nó.  
Mđưn (tt)	Huênh hoang
Mgaih (đgt)	Dọn sạch. Riêng gah sang mgaih doh bhung: Xung quanh nhà dọn sạch sạch sẽ. 
Mgam (đgt) 	Tiếp
Mgang (đgt)	1. Phòng. Mgang klei ruă kơ mnu\ da: Phòng bệnh cho gà. 
	2. Bảo thủ. La] kơ yûu mgang êdi: Nó rất bảo thủ. 
	3. Bảo vệ. Mgang [uôn sang: Bảo vệ [uôn làng; Mgang kmrơ\ng dhông: Bảo vệ rừng; Mgang lăn ]ar: Bảo vệ Tổ quốc.
Mgao (đgt)	Quôa trớn
Mgap (tt)	May măn.  (Dùng cho người đi săn).
Mgar (dt)	Lòng chảo. }ư\ Mgar (Tên của một địa danh).
Mgăk mgưi (tt) 	Ngất ngưởng. Mkăm mgăk mgưi: Chất đống ngất ngưởng. 
Mgăl (đgt)	Cãi lại. Mgăl [rưk [rưk ho\ng amyø ama: Cãi ra rả với cha mẹ.
Mgăm (dt)	Chim gầm gheã. Mgăm [ơ\ng boh mnu\t: Chim gầm gheã ăn quả đa. 
Mgăn (đgt)	Ngang. 
Mgăt (dt) 	Người chăn dăt. Mgăt êmô: Người chăn bò.   
Mgăt êdeh (dt)	Tài xế.
Mgei (đgt)	Rung
Mgê̆č (tt)	Tinh. Miêô ală mge#]: Măt mèo tinh.
Mghă (đgt)	Đỡ. Aáu ]ăm kâo
Mghăm (tt)	Rầm (tiếng đổ). Kyâo joh mghăm: Cây đổ rầm.
Mghăp (đgt)	Chớp lấy thời cơ
Mghŭm mghăm (tt) 	Rầm rầm. Kyâo joh mghu\m mghăm:  Cây đổ rầm rầm. 
Mgi (trgt)	Ngày mai. Mgi jing hruê kjuh: Ngày mai là ngày chủ nhật; Mgi kơ mgi: Ngày mai rồi lại ngày mai.
Mgi aguah dih (dt) 	Nay mai. Mgi aguah dih tơ dah wăn hriê ]hưn ho\!: Nay mai nếu rảnh đến chơi nheô !
Mgiăm (đgt)	Xê lại gần. 
Mgoh (đgt)	Trau chuốt
Mgô (đgt)	Làm cong.  
Mgô̆(đgt)	Eoûp. Kpyø prayø kpyø êmă
Mgô̆hrŭn (đgt) 	Bó buộc.  
Mgô̆m’an (đgt)	Eoûp buộc
Mgơ̆ng (đt)	Đặt
Mgơ̆ng brei ruah (đgt)	Eõoûng cử. Mnuih mgơ\ng brei ruah: người được ứng cử.
Mgrăn (đgt)	Làm cán. Mgrăn dho\ng: Làm cán dao. 
Mgrăng (đgt)	Hị giải. Mgrăng ho\ng klei găl
Mgrông (đgt)	Aoûp tải. 
Mgu (tt)	Ngốc. Mgu đei
Mguăt mguê (tt)	Ngoăôûn ngoèo. Eùlan nao kơ hma mguăt mguê: đường đi róy ngoăôûn ngoèo.
Mguôp (đgt)	1. Góp. Mguôp prăk blei êdeh: Góp tiền mua xe.
	2. Kết hợp. Mtô mjuăt mguôp plah wah sang hră ho\ng amyø ama: Giáo dục kết hợp giữa nhà trường và gia đeãnh.
	3. Kết đôi. Mguôp di yûu dua jing ung mo#: Kết đôi hai đứa thành vợ thành chồng.
Mgur (dt) 	Chim trĩ.
Mgưt (đgt)	Giả vờ
Mhač	I. (tt) cởi mở
	Ii. (đgt) nói thầm. 
Mhač čhač (tt)	Niềm nở. Di yûu drông hmei ho\ng ai tiê mha] ]ha]: Họ đón tiếp chuông tôi với tấm lòng niềm nở.
Mhai (đgt)	Tràn ra. Braih ho\k mhai: Gạo đổ tràn ra.
Mhang (đgt) 	Hơ (lửa). Mhang ao brei thu: Hơ áo cho khô.
Mhao (đgt)	1.Thèm. Mhao boh msăm: Thèm chua. 
	2. Khát. Mhao êa: Khát nước.
Mhăk mhai (tt)	Xởi lởi
Mhăm (tt)	Rầm.  Hmư\ ênai joh mhăm: Nghe tiếng đổ rầm.
Mhâo (dt)	Ngực.
Mhêñ (đgt)	Dứ (nhử). Mhêyû [êyû kơ hđeh: Dứ kẹo trẻ con. 
Mhêñ mhu (đgt)	Ngấp ngheô. Phung kne\ mhêyû mhu duah dlăng: Kẻ trộm ngấp ngheô dòm ngó.
Mhê̆č mhăr (tt)	1. Tinh ranh. Mhe#] mhăr si mja: Tinh ranh như cáo. 
	2. Minh món. Khă mduôn he\ [iă dah ko\ dlô adôk mhe#] mhăr: Tuy già nhưng đầu óc vón còn minh món.
	3. Mưu trí. Yua klei mhe#] mhăr mblah roh: Dùng mưu trí đánh giặc.
Mhiâo (đgt)	Quát
Mhing (đgt)	Chất đống. Mkăm djuh mhing: Chất đống củi. 
Mhip mhap (tt)	Bê bết. }hum ao mhip mhap ]ho\ lăn: Quần áo bê bết bùn đất. 
Mhrĭng mhrăm (tt)	Nhăn nhó. {o# mta mhryøm mhrăm ]iăng ăl nao ruôp. Mặt mày luôc nào cũng nhăn nhó. 
Mhrŏ (đgt)	Giảm.  Mhro\ klei ư\ êpa [un knap: Xí đói giảm nghèo.
Mhua (tt) 	Dài thườn thượt.
Mhui mhai (tt)	Chan hị. Kdrăn lo\ mhui mhai mđiă: Cánh đồng chan hị ánh năng.
Mhuĭ (đgt)	Doạ. Mhuyø hđeh: Doạ trẻ con.
Mhung mhing (tt)	Cả đống
Mhuôl (đgt)	Xông hơi. Mhuôl hla plăng ]iăng kơ hlao hdrak: Xông hơi băôûng lá sả đỡ cảm cuôm.
Mhưk (tt)	Rực. Pui [ơ\ng mhưk: Lửa cháy rực. 
Mhưng (đgt)	Hơ. Mhưng jơ\ng ]iăng kơ mđao: Hơ chân cho ấm. 
Mhưp (đgt)	Dứ (nhử). Mhưp keo\ kơ hđeh: Dứ kẹo trẻ con. 
Mia (đgt) 	1. Bôi. Mia êa ju\ bo\ ao: Bôi mực đầy áo; Mia êa [âo mngưi: Bôi (xức) nước hoa.
	2. Sơn. Sang mia êa mtah : Nhà sơn màu xanh; Mia ]u\r: Sơn (queôt) vôi. 
M’ia (tt)	Nhão
Miăm miăm (đgt) 	Lẩm bẩm. 
M’iêk (đgt)	Đái. Hđeh điêt m’iêk ram: trẻ con đái dầm. 
Miêng (dt) 	Má. Ke#] ke\ ti miêng: Muỗi chích ngay má.
M’iêng (dt)	Váy. {ar m’iêng: Mặc váy.
Miêu (dt)	Con mèo. Miêu mă kkuih: Con mèo băt chuột.
Mih mưh (tt)	Tò mò.
Mil čhil (dt)	1. Tột cùng
	2. Dân chủ. Klei dưi êngiê
Min (dt)	Meãn. Bi mtuh min: Nổ meãn.
Mĭn (đgt)	Nghĩ. Bi myøn kơ amyø: Nghĩ về mẹ; myøn kơ bruă ka leh dôk amâo h’yøt: Nghĩ công việc chưa xong không yên tâm.  
M’ĭt (đgt)	Gửi. M’yøt prăk kơ anak dôk kbưi: Gửi tiền cho con ở xa.
M’ĭt hră (đgt) 	Gửi thư.
Mja (dt)	Con chồn. Mja lir: Chồn hương.
Mjai (đgt) 	Độn
Mjan (đgt) 	Thuôc giục. Mjan bi mă kan: Giục nhau băt cá.
Mjăm (đgt) 	Che giấu. Mjăm he\ klei soh yûu: Giấu tội của nó.
Mjăm mji (tt) 	Lấp láp.
Mjâo (dt) 	Thầy bói. Nao [u] kơ mjâo: đi xem thầy bói.
Mjâo mtâo (dt) 	Phù thủy. 
Mjeh (dt) 	Hạt giống. Mjeh pioh pla: Hạt giống để trồng.
Mjei (tt) 	Dữ tợn. {o# mta dlăng mjei: Khuôn mặt dữ tợn.
Mjet mjot (tt) 	Eoùo lả.
Mjĕ (đt) 	Đi lại với nhau.
Mjĕ mjing (đgt) 	Kết nghĩa. Mje\ mjing ayo\ng adei: Kết nghĩa anh em.
Mjêč mruăt (đgt) 	Hối thuôc. Nao mje#] mruăt: đi hối thuôc.
Mjhah mjhĭng (tt) 	Luộm thuộm
Mjhĭt m’uôt (tt) 	Thèm thuồng. 
Mjhô (đgt)	Mặc dùm. Mjhô ao kơ e\: Cho beô mặc áo.
Mjhua (đgt)	Lợi dụng. Mjhua klei đao\ brei mnuih [uôn sang ngă soh: Lợi dụng tôn giáo xuôi dân làng làm điều xấu. 
Mjhŭk mjhŭl (tt) 	Rối bù. {u\k biêk mjhu\k mjhu\l: Tóc tai rối bù. 
Mjing (đgt)	1. Tạo ra. Kâo srăng mjing yûu jing sa ]ô mnuih jăk: Tôi sẽ đào tạo nó thành một người tốt.
	2. Làm thành. Kâo srăng mjing sang anei jing sa boh sang  siam: Tôi sẽ làm nhà này thành một ngôi nhà đẹp.
Mjuă (đgt) 	Trả giá. Blei mjuă: Mua trả giá.
Mjuăt (đgt) 	Tập
Mjuih (tt) 	Nghiêm nghị
Mjuk (đgt)	Kết bạn (giữa phụ nữ với nhau).
Mjum (đgt)	Dỗ
Mjut (đgt)	Mới băt đầu nuôi. Mjut rông êmô: Mới băt đầu nuôi bò.
Mjưh (đgt)	Dừng lại. Mjưh êdeh: Dừng xe.
Mkai (dt) 	Dưa hấu. Blah [ơ\ng mkai: Bổ dưa hấu ăn.
Mkao (dt) 	Cuô mèo.
Mkă 	1. (đgt) Cân. Mkă  kyø: Cân kyô. 
	2. (đgt) đo. Mkă boh [ai lăn hma: đo diện tích đất róy.
	3. (tt) So. Kphê sang kâo thu\n anei mboh lu hyøn mkă ho\ng thu\n adih: Cà phê nhà tôi năm nay nhiều trái hơn so với năm trước.
Mkăk mkai (tt) 	Ngổn ngang. Dưm kyâo mkăk mkai ti ta]: để gỗ ngổn ngang ngịi trời.
Mkăm (đgt)	Chất đống. Mkăm djuh mgăk mgưi: Chất đống củi ngổn ngang.
Mkăn (tt) 	Khác. Brei kơ kâo dho\ng mkăn: Cho tôi cái dao khác.
Mkăp (đgt) 	Trang bị. 
Mkăp mgang (đgt) 	Bảo hiểm. Mkăp mgang asei mlei: Bảo hiểm thân thể.
Mkeč mkoč (tt) 	Loăôûng ngoăôûng. Boh hră ]ih mke] mko]: Chữ viết loăôûng ngoăôûng.
Mkeh mkoh (dt)	Sự khác nhau.
Mkĕ (đgt) 	Nối chặt
Mkiêt mkuôm (đgt) 	Tiết kiệm
Mkĭt (dt) 	Luôa râu. (Tên của một giống luôa).
Mkhik mkhak (tt) 	Quê mùa. Knhuah ]u\t h’ô dôk mkhik mkhak: Cách ăn mặc còn hơi quê mùa.
Mkhiăng (tt) 	Neôt mặt dữ dăôûn. 
Mkhĭt mkhŭt (tt) 	Cứng quào quạo.
Mkhơh 	Tư thế đứng như trời trồng.
Mkhuôt (đgt) 	Làm cạn. Mkhuôt êa: Ruôt cạn nước.
Mkhư̆ (đgt)	Cản
